completed_steps,training_loss,validation_loss,lr,memory_gib,tokens_per_second
1,2.0718414783477783,,1.9000000000000002e-06,,1266.764127477848
2,2.041454315185547,,2.8000000000000003e-06,,21134.367988103
3,2.050429582595825,,3.7e-06,,39534.22221929404
4,1.955241322517395,,4.6e-06,,47778.21244343201
5,2.022864818572998,,5.5e-06,,46726.384298973666
6,1.955984115600586,,6.4e-06,,9592.011509546464
7,1.9841358661651611,,7.2999999999999996e-06,,17887.19872022567
8,2.025883436203003,,8.200000000000001e-06,,42223.98423056594
9,1.9102489948272705,,9.100000000000001e-06,,48636.007562390674
10,1.922637939453125,,1e-05,,49475.68277907125
11,2.062932014465332,,9.999999777489104e-06,,50240.05238688364
12,1.9724164009094238,,9.999999109956437e-06,,44534.112565231546
13,2.002392053604126,,9.999997997402064e-06,,46884.892259138884
14,1.9630759954452515,,9.999996439826098e-06,,11040.047513573305
15,2.063678503036499,,9.99999443722869e-06,,23475.792297002085
16,1.9598348140716553,,9.999991989610037e-06,,50808.19011855083
17,2.08335280418396,,9.999989096970387e-06,,50706.69604504088
18,1.9995282888412476,,9.999985759310019e-06,,50601.96017900477
19,1.91758131980896,,9.999981976629268e-06,,50886.68023489491
20,1.959802508354187,,9.999977748928507e-06,,49596.50969809279
21,2.0088677406311035,,9.999973076208153e-06,,30397.773402829458
22,2.0698251724243164,,9.999967958468668e-06,,12299.105287939243
23,2.0009963512420654,,9.99996239571056e-06,,23194.679962966657
24,2.0129072666168213,,9.999956387934377e-06,,50090.875027043956
25,1.9324918985366821,2.0403168201446533,9.999949935140714e-06,,47684.62569262221
26,1.9079499244689941,,9.999943037330209e-06,,22795.551981596258
27,2.0108463764190674,,9.999935694503545e-06,,51067.17816263918
28,1.9829033613204956,,9.999927906661447e-06,,48616.62051824544
29,2.063676357269287,,9.999919673804685e-06,,25894.2690842716
30,2.0188469886779785,,9.999910995934075e-06,,22112.757769056792
31,1.9398295879364014,,9.999901873050474e-06,,34877.49914717968
32,1.9461392164230347,,9.999892305154784e-06,,49291.52137927695
33,2.084259271621704,,9.99988229224795e-06,,49966.43846681339
34,2.0410032272338867,,9.999871834330964e-06,,49407.11052353468
35,2.0621862411499023,,9.999860931404862e-06,,49938.662186301466
36,1.9379932880401611,,9.999849583470719e-06,,50961.32956001997
37,1.995818853378296,,9.999837790529658e-06,,28240.08034724915
38,2.0259969234466553,,9.999825552582845e-06,,22541.975332704245
39,1.9867137670516968,,9.999812869631491e-06,,34437.41820317628
40,2.039665699005127,,9.99979974167685e-06,,49835.266674816856
41,1.908631682395935,,9.99978616872022e-06,,50994.70063129662
42,2.0357937812805176,,9.999772150762946e-06,,49859.85539316741
43,2.0544044971466064,,9.999757687806409e-06,,47292.55260075341
44,1.9648650884628296,,9.999742779852044e-06,,51116.16027103267
45,1.9881411790847778,,9.999727426901323e-06,,24065.01520899627
46,1.8882611989974976,,9.999711628955764e-06,,19852.40454247358
47,1.9660530090332031,,9.99969538601693e-06,,33344.33892593811
48,2.035038471221924,,9.99967869808643e-06,,50948.30268911747
49,1.9396004676818848,,9.999661565165909e-06,,50644.79533024199
50,2.0143532752990723,2.0380616188049316,9.999643987257066e-06,,50526.51399669419
51,1.996678352355957,,9.999625964361635e-06,,26380.631158008942
