
NOTICE: Existing SQLite export found: ../profile/automodel_profile_20260216_073312.sqlite
        It is assumed file was previously exported from: ../profile/automodel_profile_20260216_073312.nsys-rep
        Consider using --force-export=true if needed.

Processing [../profile/automodel_profile_20260216_073312.sqlite] with [/usr/local/cuda-13.0/NsightSystems-cli-2025.5.1/target-linux-x64/reports/cuda_gpu_kern_sum.py]... 

 ** CUDA GPU Kernel Summary (cuda_gpu_kern_sum):

 Time (%)  Total Time (ns)  Instances    Avg (ns)       Med (ns)     Min (ns)   Max (ns)    StdDev (ns)                                                   Name                                                
 --------  ---------------  ---------  -------------  -------------  --------  -----------  ------------  ----------------------------------------------------------------------------------------------------
     72.9     100131897719          8  12516487214.9  14300826431.0    112160  14319919157  5057384522.9  ncclDevKernel_AllReduce_Sum_u64_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>)              
     21.5      29458379616       1217     24205735.1      8207237.0     12192    454910315    64883635.0  ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>)                      
      1.7       2288805990        608      3764483.5       903450.5     13664     13976402     4694536.9  ncclDevKernel_ReduceScatter_Sum_bf16_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>)         
      0.6        764041479       1201       636171.1        68224.0      2304      2081045      898571.5  at::native::detail::split_with_sizes_copy_out_contiguous_no_cast_kernel(char **, char **, long *, l…
      0.3        390141528        608       641680.1        99087.5      2208      1978583      873700.7  void at::native::detail::chunk_cat_cuda_kernel<char, char>(T2 **, T1 *, long *, long *, long *, lon…
      0.1        174306872      36170         4819.1         5344.0      3936        70240        1339.3  void at_cuda_detail::cub::detail::radix_sort::DeviceRadixSortSingleTileKernel<at_cuda_detail::cub::…
      0.1        155923635      14396        10831.0        10688.0     10015        87936        1532.4  void cutlass::Kernel2<cutlass_75_tensorop_bf16_s1688gemm_bf16_64x64_nn_align1>(T1::Params)          
      0.1        137695995       4149        33187.8        35264.0      5504        76928       12463.6  void at::native::<unnamed>::multi_tensor_apply_kernel<at::native::<unnamed>::TensorListMetadata<(in…
      0.1        127139844      37282         3410.2         4800.0      1216        84959        2494.4  void at::native::vectorized_elementwise_kernel<(int)8, at::native::CUDAFunctor_add<c10::BFloat16>, …
      0.1        104156565       1584        65755.4        65952.0     51392        69855        1517.6  void at::native::<unnamed>::multi_tensor_apply_kernel<at::native::<unnamed>::TensorListScalarListMe…
      0.1        102304283      36170         2828.4         2656.0      1920        67776        1257.4  void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::n…
      0.1        101816901      18085         5629.9         7104.0      2368       123455        2714.9  void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<c10::BFloat16, at::native::fu…
      0.1         93396373        608       153612.5        71071.5      1759       633247      186082.3  void <unnamed>::oneRankReduce<FuncPreMulSum<__nv_bfloat16>>(void *, void *, unsigned long, unsigned…
      0.1         91772164      12407         7396.8         7296.0      6304       154655        1964.4  nvjet_tst_384x64_64x3_1x1_h_bz_coopB_NTN                                                            
      0.1         89116745      11908         7483.8         7392.0      6240        83392        1496.1  nvjet_tst_64x8_64x16_4x1_v_bz_splitK_NNT                                                            
      0.1         88109905      12407         7101.6         6976.0      5920       122240        2397.5  nvjet_tst_64x384_64x3_1x1_h_bz_coopB_NTT                                                            
      0.1         81221553       1584        51276.2        52128.0     32000        54591        2772.9  void at::native::<unnamed>::multi_tensor_apply_kernel<at::native::<unnamed>::TensorListScalarListMe…
      0.1         80185161      11908         6733.7         6592.0      6016         8480         387.3  nvjet_tst_64x8_64x16_4x1_v_bz_TNT                                                                   
      0.1         79778779      44565         1790.2         1760.0      1471        48448        1002.5  void at::native::vectorized_elementwise_kernel<(int)2, at::native::BUnaryFunctor<long, long, long, …
      0.1         79318373      23552         3367.8         3359.0      2944         4128         162.4  void at_cuda_detail::cub::detail::select::DeviceSelectSweepKernel<at_cuda_detail::cub::detail::sele…
      0.1         78821686      11908         6619.2         6528.0      5920         8384         367.9  nvjet_tst_64x8_64x16_4x1_v_bz_splitK_TNT                                                            
      0.1         75538089      41837         1805.5         1056.0       863       336319        4575.2  void at::native::vectorized_elementwise_kernel<(int)8, at::native::FillFunctor<c10::BFloat16>, std:…
      0.1         74367759       1584        46949.3        46944.0     42016        48896         614.2  void at::native::<unnamed>::multi_tensor_apply_kernel<at::native::<unnamed>::TensorListMetadata<(in…
      0.1         73547796       1584        46431.7        46400.0     41888        48544         644.8  void at::native::<unnamed>::multi_tensor_apply_kernel<at::native::<unnamed>::TensorListMetadata<(in…
      0.1         72208519      54255         1330.9         1216.0      1152        51711         932.1  void at::native::vectorized_elementwise_kernel<(int)2, at::native::AUnaryFunctor<long, long, long, …
      0.1         69866276      41821         1670.6         1472.0      1152        87872        1351.0  void at::native::vectorized_elementwise_kernel<(int)8, at::native::BinaryFunctor<c10::BFloat16, c10…
      0.0         66675076       5563        11985.5        12192.0      6592       158815        4214.5  void at::native::reduce_kernel<(int)128, (int)4, at::native::ReduceOp<c10::BFloat16, at::native::fu…
      0.0         64085874      34350         1865.7         1824.0      1600       126655        1231.1  void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, float, __nv_bfloat16, float, __nv_bfloat1…
      0.0         62475264       1584        39441.5        39456.0     32224        41727         810.3  void at::native::<unnamed>::multi_tensor_apply_kernel<at::native::<unnamed>::TensorListMetadata<(in…
